Glt25d2	-2.97160414847891	4.83601667389482e-06	-2.71747245406143	0.00043875944115158
Anxa1	+4.3726917594369	4.88482931843716e-06	4.66103719203741	1.962899891815e-06
Slc14a2	+4.3726917594369	4.88482931843716e-06	4.60286090574536	1.962899891815e-06
4930432K09Rik	+4.3726917594369	4.88482931843716e-06	4.60271119008236	1.962899891815e-06
Magea4	+4.3726917594369	4.88482931843716e-06	4.66073774517305	1.962899891815e-06
Hint3	+1.12863033595555	4.98582511747416e-06	1.38946001924307	5.37370994706805e-08
Btbd11	-1.94923633545046	5.34151671401619e-06	-1.68721121307886	0.000299993996328756
Matn4	-1.76384707351086	5.34715381865725e-06	-1.50223724870917	0.000353298073868938
Plac8	-1.76384707351086	5.34715381865725e-06	-1.50499749411174	0.000353290263500946
Hao3	-1.42085736309567	5.46325258879419e-06	-1.16059346862021	0.000526210028078708
BC061237	INF	5.5738143094258e-06	INF	3.84713138035057e-06
Cyp2c44	INF	5.5738143094258e-06	INF	1.19656465627277e-05
Tmco5	INF	5.5738143094258e-06	INF	3.84713138035057e-06
Arl9	INF	5.5738143094258e-06	INF	3.84713138035057e-06
Hs3st2	INF	5.5738143094258e-06	INF	3.84713138035057e-06
Fbxl2	+1.77178771484673	5.74559724395644e-06	2.02621357369585	0.000249144325243933
Pcdhgb1	-2.76070736598029	6.08599671334026e-06	-2.49518000820774	0.000147552198734316
Epha7	-1.28821959451755	6.7750980547614e-06	-1.03243089306556	0.000871736741301888
Kif26b	-2.4272836322551	6.92150434574249e-06	-2.1636026052102	0.000238080138054417
Osbpl6	-1.52414517150769	6.94977896112517e-06	-1.26871581569221	0.000614864046974261
Rbm11	+1.42713954345928	7.13451702832334e-06	1.68356181900959	2.38615498447034e-07
Aldh3a1	-1.60785587789692	7.34302468472014e-06	-1.34535778505881	0.000532781195265769
Zfp69	-1.60785587789692	7.34302468472014e-06	-1.34782884093101	0.000532781195265769
Clec2l	-1.60785587789692	7.34302468472014e-06	-1.34480165570693	0.000532781195265769
Tacr3	-2.20221707662033	7.41693550531735e-06	-1.94611086961033	0.000325166446272915
Erc2	-1.87794504126467	7.81241808086144e-06	-1.61938397422969	0.000626331037103758
BC013712	-1.87794504126467	7.81241808086144e-06	-1.61996822699928	0.000390429971905371
Calr	-3.20221707662033	7.92482139921786e-06	-2.93730666992105	0.000212722406580057
Cspg5	-1.35011577173264	8.26928876418092e-06	-1.08968710007719	0.000930932263593663
1810049H13Rik	-1.49124669098707	8.83688709125305e-06	-1.23251618775879	0.000715949178598979
Tmprss9	+3.47960696335341	8.93067315225175e-06	3.73884903196387	4.11373350284399e-06
Dab1	-1.91271045942535	8.97670585431833e-06	-1.65762004219301	0.000457451016258062
Anxa13	+4.31610823107053	8.98545842041607e-06	4.54604381415776	3.60085668659477e-06
Gcet2	+4.31610823107053	8.98545842041607e-06	4.60437581346527	3.60085668659477e-06
Tlr12	-3.64967605359155	9.19183860610857e-06	-3.39071198714204	0.000169361167401812
Disc1	-2.91271045942535	9.23223405504507e-06	-2.64889086423716	0.000238772734003773
Klhdc9	+1.08728954057465	9.39821371558417e-06	1.34408888715371	9.68724644295019e-07
Parvg	+2.16410513762549	1.00195168187001e-05	2.42319894508329	1.57037382706282e-06
Myh1	+2.75971488254615	1.019216668246e-05	3.0189078958442	3.24338251158718e-06
Serpinb8	-4.41521079995453	1.03733676903475e-05	-4.15990407185392	0.00020664497495948
Slc6a15	-4.41521079995453	1.03733676903475e-05	-4.14916018478274	0.00020664497495948
Fech	-4.41521079995453	1.03733676903475e-05	-4.15648239940994	0.00020664497495948
Nov	-4.41521079995453	1.03733676903475e-05	-4.14916018478274	0.00020664497495948
Gm806	INF	1.03871126906298e-05	INF	7.29712690520159e-06
Catsper1	INF	1.03871126906298e-05	INF	7.29712690520159e-06
4930404H21Rik	INF	1.03871126906298e-05	INF	7.29712690520159e-06
Nudt7	-2.0382413415092	1.05639733221533e-05	-1.77783751891233	0.000399702468075329
Slc39a4	-2.70625958195792	1.10952361371566e-05	-2.44992032196835	0.00024928515572723
Wnt10a	INF	1.13711004998803e-05	-Inf	0.000179181440318677
Tnn	INF	1.13711004998803e-05	-Inf	0.000179198285946289
Hsd11b1	INF	1.13711004998803e-05	-Inf	0.000179181440318677
Mb	INF	1.13711004998803e-05	-Inf	0.000179181440318677
Pgr	INF	1.13711004998803e-05	-Inf	0.000179181440318677
Chga	+1.64953196479573	1.14174702013081e-05	1.89040107650538	3.22649852983894e-05
Pcdhga6	-2.09328270506717	1.15241466047177e-05	-1.83470793166259	0.000456254390156527
Zfp791	-2.09328270506717	1.15241466047177e-05	-1.83812555128181	0.00045623491128137
Spsb2	+1.18682521412557	1.21732043492267e-05	1.44855681116788	1.88916400058222e-05
Zfp811	-2.37837403177416	1.24310065210358e-05	-2.11812871089091	0.000388488557172911
Cacna1e	-2.28194426909106	1.24527226910934e-05	-2.02579206086731	0.000358762515559674
4933412E14Rik	+2.5597773120374	1.3010129013426e-05	2.82483295345424	2.53930891935934e-06
Ces7	+2.3726917594369	1.40278355702163e-05	2.63180552601428	3.15668383911285e-06
Srrd	+1.02980404591389	1.41320171631156e-05	1.29229746226797	1.60687380617734e-07
Ager	-1.87523575400668	1.50285751674917e-05	-1.61459042728631	0.000696235810406655
Gdpd2	-1.87523575400668	1.50285751674917e-05	-1.61429107362305	0.000696235810406655
Psors1c2	+3.42713954345928	1.55721396650796e-05	3.6866080927477	0.00033569755988349
C4a	+1.88524576463001	1.56069651943742e-05	2.13641397986187	1.96159447678899e-06
